x,y,L_track,R_track
7.5625,25,1.5,1.5
7.5625,26.0416666666667,1.5,1.5
7.5625,27.0833333333333,1.5,1.5
7.5625,28.125,1.5,1.5
7.5625,29.1666666666667,1.5,1.5
7.5625,30.2083333333333,1.5,1.5
7.5625,31.25,1.5,1.5
7.5625,32.2916666666667,1.5,1.5
7.5625,33.3333333333333,1.5,1.5
7.5625,34.375,1.5,1.5
7.5625,35.4166666666667,1.5,1.5
7.5625,36.4583333333333,1.5,1.5
7.5625,37.5,1.5,1.5
7.5625,38.5416666666667,1.5,1.5
7.5625,39.5833333333333,1.5,1.5
7.5625,40.625,1.5,1.5
7.5625,41.6666666666667,1.5,1.5
7.5625,42.7083333333333,1.5,1.5
7.5625,43.75,1.5,1.5
7.5625,44.7916666666667,1.5,1.5
7.5625,45.8333333333333,1.5,1.5
7.5625,46.875,1.5,1.5
7.5625,47.9166666666667,1.5,1.5
7.5625,48.9583333333333,1.5,1.5
7.5625,50,1.5,1.5
7.55178163605551,50.402492697244,1.5,1.5
7.51965692658916,50.8038444852082,1.5,1.5
7.46621693258017,51.2029176886442,1.5,1.5
7.39161313549762,51.598581091199,1.5,1.5
7.29605700790978,51.9897131419706,1.5,1.5
7.17981941404213,52.375205134666,1.5,1.5
7.04322984198331,52.7539643503495,1.5,1.5
6.88667546971528,53.1249171548734,1.5,1.5
6.71060006761532,53.4870120422105,1.5,1.5
6.51550274054066,53.8392226150625,1.5,1.5
6.30193651306152,54.180550494294,1.5,1.5
6.07050676185291,54.5100281489474,1.5,1.5
5.82186949968867,54.826721638814,1.5,1.5
5.55672951590195,55.129733261789,1.5,1.5
5.27583837858332,55.418204098506,1.5,1.5
4.97999230417935,55.691316447037,1.5,1.5
4.67002990053058,55.9482961407575,1.5,1.5
4.34682978974645,56.1884147428055,1.5,1.5
4.01130811765555,56.4109916109156,1.5,1.5
3.66441595689067,56.615395826773,1.5,1.5
3.30713661097009,56.8010479844198,1.5,1.5
2.94048282701699,56.967421832645,1.5,1.5
2.5654939250176,57.1140457666997,1.5,1.5
2.18323285175589,57.2405041651127,1.5,1.5
1.79478316777531,57.3464385678144,1.5,1.5
1.4012459759088,57.4315486922309,1.5,1.5
1.00373680008315,57.4955932844678,1.5,1.5
0.603382423245191,57.53839080317,1.5,1.5
0.201317693373172,57.5598199341211,1.5,1.5
-0.201317693373171,57.5598199341211,1.5,1.5
-0.60338242324519,57.53839080317,1.5,1.5
-1.00373680008315,57.4955932844678,1.5,1.5
-1.4012459759088,57.4315486922309,1.5,1.5
-1.79478316777531,57.3464385678144,1.5,1.5
-2.18323285175588,57.2405041651127,1.5,1.5
-2.5654939250176,57.1140457666997,1.5,1.5
-2.94048282701699,56.967421832645,1.5,1.5
-3.30713661097009,56.8010479844198,1.5,1.5
-3.66441595689067,56.615395826773,1.5,1.5
-4.01130811765555,56.4109916109156,1.5,1.5
-4.34682978974645,56.1884147428055,1.5,1.5
-4.67002990053058,55.9482961407575,1.5,1.5
-4.97999230417935,55.691316447037,1.5,1.5
-5.27583837858332,55.418204098506,1.5,1.5
-5.55672951590194,55.129733261789,1.5,1.5
-5.82186949968866,54.826721638814,1.5,1.5
-6.07050676185291,54.5100281489474,1.5,1.5
-6.30193651306152,54.180550494294,1.5,1.5
-6.51550274054066,53.8392226150625,1.5,1.5
-6.71060006761532,53.4870120422105,1.5,1.5
-6.88667546971528,53.1249171548734,1.5,1.5
-7.04322984198331,52.7539643503495,1.5,1.5
-7.17981941404213,52.375205134666,1.5,1.5
-7.29605700790978,51.9897131419706,1.5,1.5
-7.39161313549762,51.598581091199,1.5,1.5
-7.46621693258017,51.2029176886442,1.5,1.5
-7.51965692658916,50.8038444852082,1.5,1.5
-7.55178163605551,50.402492697244,1.5,1.5
-7.5625,50,1.5,1.5
-7.5625,48.9795918367347,1.5,1.5
