x,y,wl,wr
-12,0,1.5,1.5
-11.7551020408163,0,1.5,1.5
-11.5102040816327,0,1.5,1.5
-11.265306122449,0,1.5,1.5
-11.0204081632653,0,1.5,1.5
-10.7755102040816,0,1.5,1.5
-10.530612244898,0,1.5,1.5
-10.2857142857143,0,1.5,1.5
-10.0408163265306,0,1.5,1.5
-9.79591836734694,0,1.5,1.5
-9.55102040816326,0,1.5,1.5
-9.30612244897959,0,1.5,1.5
-9.06122448979592,0,1.5,1.5
-8.81632653061224,0,1.5,1.5
-8.57142857142857,0,1.5,1.5
-8.3265306122449,0,1.5,1.5
-8.08163265306122,0,1.5,1.5
-7.83673469387755,0,1.5,1.5
-7.59183673469388,0,1.5,1.5
-7.3469387755102,0,1.5,1.5
-7.10204081632653,0,1.5,1.5
-6.85714285714286,0,1.5,1.5
-6.61224489795918,0,1.5,1.5
-6.36734693877551,0,1.5,1.5
-6.12244897959184,0,1.5,1.5
-5.87755102040816,0,1.5,1.5
-5.63265306122449,0,1.5,1.5
-5.38775510204082,0,1.5,1.5
-5.14285714285714,0,1.5,1.5
-4.89795918367347,0,1.5,1.5
-4.6530612244898,0,1.5,1.5
-4.40816326530612,0,1.5,1.5
-4.16326530612245,0,1.5,1.5
-3.91836734693878,0,1.5,1.5
-3.6734693877551,0,1.5,1.5
-3.42857142857143,0,1.5,1.5
-3.18367346938776,0,1.5,1.5
-2.93877551020408,0,1.5,1.5
-2.69387755102041,0,1.5,1.5
-2.44897959183673,0,1.5,1.5
-2.20408163265306,0,1.5,1.5
-1.95918367346939,0,1.5,1.5
-1.71428571428571,0,1.5,1.5
-1.46938775510204,0,1.5,1.5
-1.22448979591837,0,1.5,1.5
-0.979591836734693,0,1.5,1.5
-0.73469387755102,0,1.5,1.5
-0.489795918367347,0,1.5,1.5
-0.244897959183673,0,1.5,1.5
0,0,1.5,1.5
0.159474678843448,-0.00139365016180726,1.5,1.5
0.318900644939068,-0.00557417494623991,1.5,1.5
0.478229200418704,-0.0125402973803563,1.5,1.5
0.637411677169016,-0.0222898896093273,1.5,1.5
0.796399451697513,-0.0348199735464032,1.5,1.5
0.955143959984975,-0.0501267217826005,1.5,1.5
1.1135967123197,-0.0682054587557985,1.5,1.5
1.27170930810903,-0.0890506621789413,1.5,1.5
1.42943345066374,-0.112655964726848,1.5,1.5
1.58672096195054,-0.139014155981172,1.5,1.5
1.74352379730849,-0.168117184632871,1.5,1.5
1.89979406012458,-0.199956160941541,1.5,1.5
2.05548401646412,-0.234521359450858,1.5,1.5
2.2105461096514,-0.271802221959284,1.5,1.5
2.3649329747963,-0.311787360745168,1.5,1.5
2.51859745326218,-0.354464562045186,1.5,1.5
2.67149260707091,-0.399820789785148,1.5,1.5
2.82357173324038,-0.447842189561959,1.5,1.5
2.97478837805031,-0.498514092875547,1.5,1.5
3.12509635123188,-0.551821021609475,1.5,1.5
3.27444974007689,-0.607746692758843,1.5,1.5
3.42280292346214,-0.666274023404057,1.5,1.5
3.5701105857848,-0.727385135928936,1.5,1.5
3.71632773080433,-0.791061363481564,1.5,1.5
3.86140969538695,-0.857283255676229,1.5,1.5
4.00531216314836,-0.926030584534674,1.5,1.5
4.14799117799047,-0.997282350664905,1.5,1.5
4.28940315752818,-1.0710167896756,1.5,1.5
4.42950490640187,-1.14721137882422,1.5,1.5
4.56825362947184,-1.22584284389674,1.5,1.5
4.70560694489031,-1.30688716631692,1.5,1.5
4.84152289704739,-1.39031959048301,1.5,1.5
4.97595996938663,-1.47611463132949,1.5,1.5
5.10887709708664,-1.56424608211168,1.5,1.5
5.24023367960462,-1.65468702241081,1.5,1.5
5.36998959307811,-1.74740982635706,1.5,1.5
5.49810520258112,-1.84238617106808,1.5,1.5
5.62454137423093,-1.93958704530043,1.5,1.5
5.74925948714184,-2.0389827583113,1.5,1.5
5.87222144522216,-2.14054294892774,1.5,1.5
5.99338968881101,-2.24423659482076,1.5,1.5
6.11272720615119,-2.35003202198128,1.5,1.5
6.23019754469467,-2.45789691439524,1.5,1.5
6.34576482223732,-2.56779832391474,1.5,1.5
6.45939373787942,-2.67970268032233,1.5,1.5
6.57104958280853,-2.79357580158525,1.5,1.5
6.68069825090163,-2.90938290429663,1.5,1.5
6.78830624914303,-3.02708861430033,1.5,1.5
6.89384070785511,-3.14665697749621,1.5,1.5
6.99726939073859,-3.26805147082265,1.5,1.5
7.09856070471936,-3.39123501341273,1.5,1.5
7.19768370959883,-3.51616997792091,1.5,1.5
7.2946081275048,-3.64281820201656,1.5,1.5
7.38930435214015,-3.77114100004094,1.5,1.5
7.48174345782624,-3.90109917482403,1.5,1.5
7.5718972083385,-4.03265302965758,1.5,1.5
7.6597380655314,-4.16576238042082,1.5,1.5
7.74523919775017,-4.30038656785496,1.5,1.5
7.82837448802676,-4.43648446998288,1.5,1.5
7.90911854205746,-4.57401451467016,1.5,1.5
7.98744669595973,-4.71293469232357,1.5,1.5
8.06333502380607,-4.85320256872327,1.5,1.5
8.13676034493226,-4.99477529798463,1.5,1.5
8.20770023101816,-5.13760963564583,1.5,1.5
8.27613301293858,-5.28166195187722,1.5,1.5
8.34203778738225,-5.42688824480836,1.5,1.5
8.40539442323696,-5.57324415396877,1.5,1.5
8.46618356773868,-5.72068497383811,1.5,1.5
8.52438665238306,-5.86916566750188,1.5,1.5
8.57998589859733,-6.01864088040823,1.5,1.5
8.63296432317086,-6.1690649542219,1.5,1.5
8.68330574344282,-6.32039194077089,1.5,1.5
8.73099478224534,-6.47257561608163,1.5,1.5
8.7760168726005,-6.62556949449854,1.5,1.5
8.81835826217002,-6.77932684288331,1.5,1.5
8.85800601745593,-6.93380069489,1.5,1.5
8.89494802775126,-7.08894386531117,1.5,1.5
8.92917300883932,-7.24470896449105,1.5,1.5
8.96067050644057,-7.40104841280098,1.5,1.5
8.98943089940595,-7.55791445517304,1.5,1.5
9.0154454026557,-7.71525917568715,1.5,1.5
9.03870606986289,-7.87303451220737,1.5,1.5
9.05920579588064,-8.03119227106287,1.5,1.5
9.07693831891247,-8.18968414176897,1.5,1.5
9.09189822242499,-8.34846171178404,1.5,1.5
9.10408093680242,-8.50747648129742,1.5,1.5
9.11348274074244,-8.66667987804406,1.5,1.5
9.12010076239286,-8.8260232721413,1.5,1.5
9.12393298022889,-8.98545799094323,1.5,1.5
9.12497822367056,-9.14493533390812,1.5,1.5
9.12323617344037,-9.30440658747437,1.5,1.5
9.11870736166073,-9.46382303994042,1.5,1.5
9.11139317169149,-9.62313599634412,1.5,1.5
9.10129583770734,-9.782296793337,1.5,1.5
9.08841844401538,-9.9412568140488,1.5,1.5
9.07276492411299,-10.0999675029379,1.5,1.5
9.05434005948632,-10.2583803806231,1.5,1.5
9.03314947814974,-10.4164470586916,1.5,1.5
9.00919965292672,-10.5741192544801,1.5,1.5
8.98249789947268,-10.731348805823,1.5,1.5
8.95305237404033,-10.8880876857635,1.5,1.5
8.92087207098831,-11.0442880172243,1.5,1.5
8.88596682003377,-11.1999020876318,1.5,1.5
8.84834728324986,-11.3548823634903,1.5,1.5
8.80802495180883,-11.5091815049012,1.5,1.5
8.76501214247208,-11.6627523800239,1.5,1.5
8.71932199382779,-11.8155480794721,1.5,1.5
8.67096846227774,-11.9675219306427,1.5,1.5
8.61996631777416,-12.1186275119726,1.5,1.5
8.56633113930815,-12.268818667118,1.5,1.5
8.51007931015099,-12.4180495190537,1.5,1.5
8.45122801284971,-12.5662744840864,1.5,1.5
8.38979522397854,-12.7134482857785,1.5,1.5
8.32579970864787,-12.8595259687782,1.5,1.5
8.2592610147723,-13.0044629125515,1.5,1.5
8.19019946709955,-13.1482148450117,1.5,1.5
8.11863616100213,-13.2907378560429,1.5,1.5
8.0445929560336,-13.4319884109125,1.5,1.5
7.9680924692514,-13.5719233635694,1.5,1.5
7.8891580683083,-13.7104999698229,1.5,1.5
7.80781386431459,-13.8476759003998,1.5,1.5
7.72408470447314,-13.9834092538736,1.5,1.5
7.6379961644896,-14.117658569464,1.5,1.5
7.5495745407602,-14.2503828397014,1.5,1.5
7.45884684233922,-14.3815415229527,1.5,1.5
7.36584078268894,-14.5110945558054,1.5,1.5
7.27058477121429,-14.6390023653048,1.5,1.5
7.17310790458505,-14.7652258810423,1.5,1.5
7.073439957848,-14.8897265470896,1.5,1.5
6.97161137533192,-15.0124663337757,1.5,1.5
6.86765326134816,-15.1334077493038,1.5,1.5
6.76159737068957,-15.2525138512029,1.5,1.5
6.65347609893076,-15.3697482576127,1.5,1.5
6.54332247253264,-15.4850751583963,1.5,1.5
6.43117013875423,-15.5984593260787,1.5,1.5
6.31705335537483,-15.7098661266079,1.5,1.5
6.20100698022976,-15.8192615299331,1.5,1.5
6.08306646056274,-15.9266121204003,1.5,1.5
5.9632678221983,-16.0318851069592,1.5,1.5
5.84164765853734,-16.135048333179,1.5,1.5
5.71824311937949,-16.2360702870714,1.5,1.5
5.59309189957539,-16.3349201107158,1.5,1.5
5.46623222751247,-16.4315676096854,1.5,1.5
5.33770285343785,-16.52598326227,1.5,1.5
5.20754303762178,-16.6181382284939,1.5,1.5
5.07579253836527,-16.708004358925,1.5,1.5
4.94249159985564,-16.7955542032735,1.5,1.5
4.80768093987359,-16.8807610187767,1.5,1.5
4.6714017373557,-16.9635987783679,1.5,1.5
4.53369561981598,-17.0440421786262,1.5,1.5
4.39460465063041,-17.1220666475063,1.5,1.5
4.25417131618842,-17.1976483518434,1.5,1.5
4.11243851291505,-17.2707642046338,1.5,1.5
3.96944953416794,-17.3413918720868,1.5,1.5
3.82524805701303,-17.4095097804468,1.5,1.5
3.67987812888308,-17.4750971225829,1.5,1.5
3.53338415412306,-17.5381338643452,1.5,1.5
3.38581088042645,-17.5986007506836,1.5,1.5
3.23720338516681,-17.65647931153,1.5,1.5
3.08760706162847,-17.7117518674399,1.5,1.5
2.93706760514087,-17.7644015349926,1.5,1.5
2.78563099912052,-17.8144122319487,1.5,1.5
2.63334350102507,-17.8617686821621,1.5,1.5
2.48025162822358,-17.9064564202468,1.5,1.5
2.32640214378746,-17.9484617959949,1.5,1.5
2.17184204220632,-17.9877719785463,1.5,1.5
2.01661853503318,-18.0243749603082,1.5,1.5
1.86077903646329,-18.0582595606228,1.5,1.5
1.70437114885116,-18.0894154291824,1.5,1.5
1.54744264817001,-18.1178330491911,1.5,1.5
1.39004146941827,-18.1435037402719,1.5,1.5
1.2322156919775,-18.1664196611176,1.5,1.5
1.07401352492609,-18.186573811887,1.5,1.5
0.915483292313528,-18.203960036342,1.5,1.5
0.756673418399381,-18.2185730237288,1.5,1.5
0.597632412861783,-18.2304083103998,1.5,1.5
0.438408855979768,-18.239462281177,1.5,1.5
0.27905138379407,-18.2457321704566,1.5,1.5
0.119608673250853,-18.2492160630535,1.5,1.5
-0.039870572667011,-18.2499128947862,1.5,1.5
-0.199337639816649,-18.2478224528022,1.5,1.5
-0.358743817775274,-18.2429453756429,1.5,1.5
-0.518040414719171,-18.2352831530484,1.5,1.5
-0.677178772296976,-18.2248381255026,1.5,1.5
-0.836110280492735,-18.2116134835182,1.5,1.5
-0.994786392474204,-18.1956132666622,1.5,1.5
-1.15315863942185,-18.176842362322,1.5,1.5
-1.311178645334,-18.1553065042124,1.5,1.5
-1.46879814180369,-18.1310122706242,1.5,1.5
-1.62596898276259,-18.1039670824151,1.5,1.5
-1.7826431591876,-18.0741792007425,1.5,1.5
-1.93877281376553,-18.0416577245403,1.5,1.5
-2.09431025551154,-18.0064125877396,1.5,1.5
-2.24920797433669,-17.9684545562342,1.5,1.5
-2.40341865556022,-17.9277952245923,1.5,1.5
-2.55689519436222,-17.8844470125144,1.5,1.5
-2.70959071017215,-17.83842316104,1.5,1.5
-2.86145856098884,-17.789737728503,1.5,1.5
-3.01245235762766,-17.7384055862373,1.5,1.5
-3.16252597789044,-17.6844424140342,1.5,1.5
-3.31163358065387,-17.6278646953533,1.5,1.5
-3.45972961987198,-17.568689712287,1.5,1.5
-3.60676885848854,-17.5069355402817,1.5,1.5
-3.75270638225508,-17.4426210426168,1.5,1.5
-3.89749761345026,-17.3757658646425,1.5,1.5
-4.04109832449647,-17.3063904277789,1.5,1.5
-4.18346465146952,-17.2345159232783,1.5,1.5
-4.32455310749716,-17.1601643057523,1.5,1.5
