# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,1.5,1.5
0.26020069047408945,4.729213788539443e-05,1.5,1.5
0.5204013809472637,9.507238088210588e-05,1.5,1.5
0.780601072,0.000143341,1.5,1.5
1.0408017623992774,0.000192097,1.5,1.5
1.3010024528642155,0.000241342,1.5,1.5
1.5612031433245774,0.000291074,1.5,1.5
1.8228400979331103,0.000341574,1.5,1.5
2.093608374252278,0.000394355,1.5,1.5
2.364377650051401,0.000447665,1.5,1.5
2.635145926,0.000501504,1.5,1.5
2.910075070892713,0.00055671,1.5,1.5
3.190200553161231,0.000613521,1.5,1.5
3.4703260354167442,0.000670897,1.5,1.5
3.750451517658111,0.000728839,1.5,1.5
4.0379072443514215,0.000788886,1.5,1.5
4.326394443,0.000849747,1.5,1.5
4.6148816407688535,0.000911207,1.5,1.5
4.906538215168731,0.000973953,1.5,1.5
5.2027154734460295,0.001038299,1.5,1.5
5.498893731187546,0.001103278,1.5,1.5
5.795337852692852,0.001168948,1.5,1.5
6.0986264675019966,0.00123679,1.5,1.5
6.401915082281999,0.001305296,1.5,1.5
6.705204696519338,0.001374464,1.5,1.5
7.013389802593991,0.001445429,1.5,1.5
7.3232780360624625,0.001517476,1.5,1.5
7.633166269494401,0.001590215,1.5,1.5
7.946228876545146,0.001664403,1.5,1.5
8.262259962698915,0.00174001,1.5,1.5
8.578294047273598,0.001816339,1.5,1.5
8.896356092807281,0.001893884,1.5,1.5
9.21812324,0.001973074,1.5,1.5
9.539890387219856,0.002053011,1.5,1.5
9.862991850731714,0.002134031,1.5,1.5
10.19014223977902,0.002216833,1.5,1.5
10.517294627745521,0.002300406,1.5,1.5
10.84542851,0.002385006,1.5,1.5
11.17768029,0.002471458,1.5,1.5
11.50993206,0.002558706,1.5,1.5
11.84307738053995,0.002646988,1.5,1.5
12.180172674070498,0.002737131,1.5,1.5
12.51726496906537,0.002828092,1.5,1.5
12.855371744229801,0.00292015,1.5,1.5
13.197067680454232,0.003014023,1.5,1.5
13.53876461608654,0.003108737,1.5,1.5
13.881749891570598,0.003204655,1.5,1.5
14.227826583117567,0.003302298,1.5,1.5
14.573903274576015,0.003400803,1.5,1.5
14.921677096437193,0.003500662,1.5,1.5
15.271926649789433,0.003602113,1.5,1.5
15.62217720253227,0.003704448,1.5,1.5
15.974627628092417,0.003808319,1.5,1.5
16.32886014051431,0.003913618,1.5,1.5
16.68309365231769,0.004019821,1.5,1.5
17.040107739409468,0.004127774,1.5,1.5
17.39814130406785,0.004236957,1.5,1.5
17.756177867074133,0.004347066,1.5,1.5
18.11762568223433,0.004459161,1.5,1.5
18.479296383077735,0.004572268,1.5,1.5
18.84158176886615,0.004686513,1.5,1.5
19.206749677685345,0.004802624,1.5,1.5
19.57191858585941,0.004919697,1.5,1.5
19.93857473,0.005038214,1.5,1.5
20.307139899766444,0.005158324,1.5,1.5
20.675704067980966,0.005279414,1.5,1.5
21.04666500807544,0.00540228,1.5,1.5
21.418527486120563,0.005526441,1.5,1.5
21.790515899489307,0.00565164,1.5,1.5
22.16558173599514,0.005778886,1.5,1.5
22.54064857182691,0.005907146,1.5,1.5
22.916880810403118,0.006036824,1.5,1.5
23.29506304973255,0.006168202,1.5,1.5
23.673245288888914,0.006300611,1.5,1.5
24.05364439206231,0.006434837,1.5,1.5
24.434856078728462,0.006570396,1.5,1.5
24.8163896,0.006707118,1.5,1.5
25.200549775953824,0.006845842,1.5,1.5
25.584708951908436,0.00698563,1.5,1.5
25.970330378481226,0.007127019,1.5,1.5
26.357360083319765,0.007270003,1.5,1.5
26.74438978795321,0.007414067,1.5,1.5
27.13400416811318,0.007560184,1.5,1.5
27.52382844052011,0.007707474,1.5,1.5
27.91463520932395,0.007856236,1.5,1.5
28.30718308584218,0.008006768,1.5,1.5
28.69972996,0.008158412,1.5,1.5
29.094436732586686,0.00831201,1.5,1.5
29.48963325136609,0.008466923,1.5,1.5
29.885571389932256,0.008623257,1.5,1.5
30.283353583439883,0.008781456,1.5,1.5
30.68113878,0.008940798,1.5,1.5
31.080870969069107,0.009102068,1.5,1.5
31.481172870822718,0.009264723,1.5,1.5
31.88215542357586,0.009428813,1.5,1.5
32.284914066064225,0.009594796,1.5,1.5
32.68767570674424,0.009761951,1.5,1.5
33.092339372623336,0.009931072,1.5,1.5
33.497492787291804,0.010101580409709984,1.5,1.5
33.903408810941585,0.010273596726804328,1.5,1.5
34.31089203132573,0.010447471938023156,1.5,1.5
34.71837525141392,0.010622544209296179,1.5,1.5
35.12784445365366,0.010799675569401087,1.5,1.5
35.53759251271043,0.010978137551639722,1.5,1.5
35.94830907522784,0.011158236055432463,1.5,1.5
36.360276,0.011340104531308152,1.5,1.5
36.77226190829418,0.011523205023759288,1.5,1.5
37.18638672356879,0.011708489324691495,1.5,1.5
37.60050454209685,0.011895006863999906,1.5,1.5
38.01587971605727,0.012083332707632198,1.5,1.5
38.43209845745655,0.012273288683319766,1.5,1.5
38.84871599417796,0.012464677393647781,1.5,1.5
39.26698568402933,0.012658083864432373,1.5,1.5
39.68525537352384,0.012852752,1.5,1.5
40.10513323866804,0.013049436374362344,1.5,1.5
40.52539690576903,0.013247574605864763,1.5,1.5
40.94649914,0.013447385332472158,1.5,1.5
41.36871480902505,0.013649007864345815,1.5,1.5
41.79104941389113,0.013851972920420669,1.5,1.5
42.21517110270409,0.014057090892484216,1.5,1.5
42.639288793171055,0.014263503725964218,1.5,1.5
43.06471081492392,0.014471854138723098,1.5,1.5
43.49068655255731,0.014681783,1.5,1.5
43.91730595997468,0.014893340336602362,1.5,1.5
44.34509176933024,0.015106793541870216,1.5,1.5
44.77291156085203,0.015321583177948229,1.5,1.5
45.202467462388434,0.015538572,1.5,1.5
45.63202236400369,0.015756890588543185,1.5,1.5
46.06277864960584,0.015977155601819802,1.5,1.5
46.494056667433554,0.016199027534848903,1.5,1.5
46.92597536,0.016422572997875126,1.5,1.5
47.35894750540293,0.016648014,1.5,1.5
47.792029597472514,0.016874863,1.5,1.5
48.226647901930306,0.017103877,1.5,1.5
48.66126620591488,0.017334252919471688,1.5,1.5
49.09712387437615,0.017566653166557027,1.5,1.5
49.53334735491156,0.017800619765558027,1.5,1.5
49.97032244983107,0.018036364912730612,1.5,1.5
50.40812012276608,0.018273934331679016,1.5,1.5
50.84621564259562,0.018513011262399667,1.5,1.5
51.28555052697645,0.018753852,1.5,1.5
51.724889409131414,0.018995177410693176,1.5,1.5
52.165608584254386,0.019236629970139245,1.5,1.5
52.60644170189488,0.019475669186119583,1.5,1.5
53.04823933,0.01971024,1.5,1.5
53.490547693385906,0.019936914,1.5,1.5
53.93340977977406,0.020151860810929033,1.5,1.5
54.37714042585854,0.020350689447234144,1.5,1.5
54.821061979399445,0.020527893755182068,1.5,1.5
55.266184922574155,0.020677955941340843,1.5,1.5
55.71130786977583,0.020793855406969618,1.5,1.5
56.15763819976373,0.020868585623832286,1.5,1.5
56.604118449544174,0.020893904,1.5,1.5
57.051464244877884,0.020861138300766097,1.5,1.5
57.49925978755175,0.020760868,1.5,1.5
57.94760401101873,0.020582994,1.5,1.5
58.39668779583243,0.020316592226296337,1.5,1.5
58.84602636196835,0.019950502518229326,1.5,1.5
59.29636529,0.019471875229808464,1.5,1.5
59.746707044849465,0.01886894,1.5,1.5
60.19824495478898,0.018126462590573284,1.5,1.5
60.649802551700894,0.017231996981408586,1.5,1.5
61.10227828447849,0.016168798,1.5,1.5
61.555028377655546,0.014922608028831889,1.5,1.5
62.00843350651057,0.013476056095977993,1.5,1.5
62.46234859381344,0.011812446362480133,1.5,1.5
62.916659520194415,0.00991453,1.5,1.5
63.371708897131995,0.00776234,1.5,1.5
63.82693277777558,0.005339519,1.5,1.5
64.28308448339074,0.002622156,1.5,1.5
64.73923418601187,-0.000404607,1.5,1.5
65.19642596,-0.003768935,1.5,1.5
65.65364292667856,-0.007485307,1.5,1.5
66.11167918557604,-0.011582596,1.5,1.5
66.56994752205075,-0.016078859,1.5,1.5
67.02883011968616,-0.021001584,1.5,1.5
67.48811142581503,-0.02637308,1.5,1.5
67.94781367634465,-0.032218614,1.5,1.5
68.40808894148874,-0.038566053,1.5,1.5
68.8686005,-0.045437042,1.5,1.5
69.32983601783283,-0.052866076,1.5,1.5
69.79113778930991,-0.060870094,1.5,1.5
70.25331302834499,-0.069491602,1.5,1.5
70.71546799,-0.078742879,1.5,1.5
71.17847054150302,-0.08867089,1.5,1.5
71.64152665211232,-0.099288976,1.5,1.5
72.10526704695135,-0.110642276,1.5,1.5
72.5691872,-0.122749994,1.5,1.5
73.0336417,-0.135653231,1.5,1.5
73.49840847248483,-0.149378591,1.5,1.5
73.96356099,-0.163961258,1.5,1.5
74.42914153083903,-0.179436496,1.5,1.5
74.89495845375336,-0.19583205,1.5,1.5
75.36132730302762,-0.213194121,1.5,1.5
75.82779632,-0.231541145,1.5,1.5
76.29490125007686,-0.250930341,1.5,1.5
76.76200018122502,-0.271371413,1.5,1.5
77.22981895842516,-0.292933395,1.5,1.5
77.69757746453722,-0.315617966,1.5,1.5
78.16599384223201,-0.339498001,1.5,1.5
78.63443827884346,-0.364580307,1.5,1.5
79.10339357605096,-0.390929704,1.5,1.5
79.57244300892191,-0.418562535,1.5,1.5
80.04190792251673,-0.447537696,1.5,1.5
80.51154659174946,-0.477881108,1.5,1.5
80.98148802,-0.509642032,1.5,1.5
81.4516723,-0.542858207,1.5,1.5
81.92203217962835,-0.577566648,1.5,1.5
82.39271031125743,-0.61382056,1.5,1.5
82.86346423486243,-0.651644001,1.5,1.5
83.33458906,-0.691104256,1.5,1.5
83.80568718,-0.732211593,1.5,1.5
84.27719696314033,-0.77504864,1.5,1.5
84.74860062884977,-0.81961281,1.5,1.5
85.22044073,-0.866000588,1.5,1.5
85.69210728361044,-0.91419733,1.5,1.5
86.16420302537443,-0.964310518,1.5,1.5
86.63612328769857,-1.016322364,1.5,1.5
87.10835593821261,-1.070332937,1.5,1.5
87.58045555978678,-1.126338373,1.5,1.5
88.05277931688545,-1.184428162,1.5,1.5
88.52499507766923,-1.244609277,1.5,1.5
88.99732947917579,-1.306958314,1.5,1.5
89.46957630135432,-1.371496464,1.5,1.5
89.94184175155083,-1.438286551,1.5,1.5
90.41406197125463,-1.507368746,1.5,1.5
90.88619623392799,-1.578786133,1.5,1.5
91.35827127,-1.652592301,1.5,1.5
91.83018571057194,-1.728820986,1.5,1.5
92.30205448732062,-1.807541082,1.5,1.5
92.77364474723922,-1.88876376,1.5,1.5
93.24519870310503,-1.972581498,1.5,1.5
93.71639372897505,-2.058987675,1.5,1.5
94.18752892362866,-2.148088376,1.5,1.5
94.65821290550191,-2.239860677,1.5,1.5
95.12882483617314,-2.334430239,1.5,1.5
95.59889016693991,-2.431753246,1.5,1.5
96.06887543413761,-2.531978552,1.5,1.5
96.53824673102646,-2.635044641,1.5,1.5
97.00743545782407,-2.741098436,1.5,1.5
97.47598138893116,-2.850088564,1.5,1.5
97.94425636050988,-2.962154159,1.5,1.5
98.41185884784407,-3.077252264,1.5,1.5
98.87907999304822,-3.195507445,1.5,1.5
99.34560091294291,-3.316892446,1.5,1.5
99.81163819,-3.441516932,1.5,1.5
100.2769424824279,-3.569368089,1.5,1.5
100.74165524757368,-3.700538447,1.5,1.5
101.20559142012124,-3.835029918,1.5,1.5
101.66882357137546,-3.972917442,1.5,1.5
102.13124760376812,-4.114224618,1.5,1.5
102.5928456741761,-4.259000232,1.5,1.5
103.0535835222991,-4.407288273,1.5,1.5
103.5133831498645,-4.55911815,1.5,1.5
103.97226611807692,-4.714551999,1.5,1.5
104.43010331519487,-4.873600965,1.5,1.5
104.8869488694919,-5.03633905,1.5,1.5
105.34264383399496,-5.202764758,1.5,1.5
