x,y,L_track,R_track
-6.625,2.0625,1.5,1.5
-5.979407592,1.791925716,1.5,1.5
-5.302340676,1.614216993,1.5,1.5
-4.627493814,1.4282554,1.5,1.5
-3.970144695,1.187647555,1.5,1.5
-3.290325616,1.020776286,1.5,1.5
-2.610996791,0.851920291,1.5,1.5
-1.933068937,0.677524692,1.5,1.5
-1.255919925,0.500129044,1.5,1.5
-0.577432659,0.327922686,1.5,1.5
0.103082134,0.163911661,1.5,1.5
0.781614345,-0.008117518,1.5,1.5
1.457592955,-0.189922136,1.5,1.5
2.131113381,-0.380631955,1.5,1.5
2.712617409,-0.770315244,1.5,1.5
3.390362548,-0.945419575,1.5,1.5
4.063924327,-1.135983289,1.5,1.5
4.738500828,-1.322923239,1.5,1.5
5.4107454,-1.518082752,1.5,1.5
6.078098814,-1.729363184,1.5,1.5
6.737733345,-1.963632869,1.5,1.5
7.399011432,-2.193222267,1.5,1.5
8.055176039,-2.437041889,1.5,1.5
8.708683558,-2.687896275,1.5,1.5
9.329135948,-3.011993222,1.5,1.5
9.981986383,-3.264552738,1.5,1.5
10.62321501,-3.545312152,1.5,1.5
11.26140326,-3.832915626,1.5,1.5
11.89502796,-4.130438305,1.5,1.5
12.49514194,-4.490803678,1.5,1.5
13.17455137,-4.659335067,1.5,1.5
13.81053148,-4.95178899,1.5,1.5
14.43571453,-5.266663813,1.5,1.5
15.05162338,-5.599314218,1.5,1.5
15.64995175,-5.96263662,1.5,1.5
16.29017499,-6.24568113,1.5,1.5
16.89416853,-6.599505663,1.5,1.5
17.4898487,-6.967153778,1.5,1.5
18.07889664,-7.345336967,1.5,1.5
18.65333133,-7.74536795,1.5,1.5
19.23783851,-8.130532025,1.5,1.5
19.81621056,-8.524848859,1.5,1.5
20.38842737,-8.928045982,1.5,1.5
20.9601399,-9.331957845,1.5,1.5
21.47883101,-9.802021162,1.5,1.5
22.03900902,-10.22178371,1.5,1.5
22.65237212,-10.5591051,1.5,1.5
23.22447707,-10.96246092,1.5,1.5
23.7979287,-11.36389986,1.5,1.5
24.37738778,-11.75661755,1.5,1.5
24.95758641,-12.1482418,1.5,1.5
25.53977903,-12.53689556,1.5,1.5
26.12857281,-12.91547433,1.5,1.5
26.71629162,-13.29571978,1.5,1.5
27.19492644,-13.80651202,1.5,1.5
27.7777746,-14.194182,1.5,1.5
28.37003526,-14.56731377,1.5,1.5
28.96257458,-14.94000286,1.5,1.5
29.55383514,-15.31471734,1.5,1.5
30.15778839,-15.66861066,1.5,1.5
30.76550651,-16.01599904,1.5,1.5
31.35260959,-16.39719449,1.5,1.5
31.94616616,-16.76826131,1.5,1.5
32.53222875,-17.15105453,1.5,1.5
33.11544857,-17.53816515,1.5,1.5
33.75197742,-17.82942283,1.5,1.5
34.3008802,-18.26382555,1.5,1.5
34.86587568,-18.67708105,1.5,1.5
35.42023932,-19.10449299,1.5,1.5
35.9604816,-19.54962024,1.5,1.5
36.50857557,-19.98504303,1.5,1.5
37.0442522,-20.43565434,1.5,1.5
37.5424347,-20.9274004,1.5,1.5
38.06962832,-21.38790761,1.5,1.5
38.58707739,-21.85933784,1.5,1.5
39.07816119,-22.35817318,1.5,1.5
39.54408508,-22.88058579,1.5,1.5
39.9237925,-23.46865234,1.5,1.5
40.32931452,-24.03922389,1.5,1.5
40.80315678,-24.55446511,1.5,1.5
41.20780592,-25.12565604,1.5,1.5
41.59145915,-25.71115599,1.5,1.5
41.95843469,-26.30725074,1.5,1.5
42.21101553,-26.96009293,1.5,1.5
42.45679629,-27.61552547,1.5,1.5
42.74093133,-28.25526548,1.5,1.5
43.03674808,-28.88968841,1.5,1.5
43.35538773,-29.51296104,1.5,1.5
43.61333779,-30.16370044,1.5,1.5
43.88989338,-30.80675332,1.5,1.5
44.17878282,-31.44436048,1.5,1.5
44.4759539,-32.07815015,1.5,1.5
44.77808173,-32.70959197,1.5,1.5
45.09852572,-33.33193886,1.5,1.5
